"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","ah5Ghc 2","ah5Ghc 3"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Mak+Semarangan+Express/data=!4m7!3m6!1s0x2e7a5993698b358f:0x6f92bde72f0b84c8!8m2!3d-7.7593715!4d110.3994963!16s%2Fg%2F11gfgxykg5!19sChIJjzWLaZNZei4RyIQLL-e9km8?authuser=0&hl=id&rclk=1","Mak Semarangan Express","4,6","(877)","·","Rp 25–50 rb","Halal","·","","·","Jl. Ring Road Utara","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG81tFv1srDONJBZDJ8MwmbGp-G8BArgH5RkFPmThU85EBE3wMSdHbJTWaxpqbjJJvdbmYSKwd45B6BSpVxFbjVsIlpmsEj-34qwVFfFN2zpy_CAI1VS-aei24pS6oW23HWcfXv=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Empal sambel bawangnya empuk mantap""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFnZmd4eWtnNRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Ngudi+Rejeki+Pogung/data=!4m7!3m6!1s0x2e7a585216a2761b:0x86bd35dab4f22aab!8m2!3d-7.7637983!4d110.3737143!16s%2Fg%2F11clyz1jfh!19sChIJG3aiFlJYei4RqyrytNo1vYY?authuser=0&hl=id&rclk=1","Ngudi Rejeki Pogung","4,4","(1.626)","·","Rp 1–25.000","Restoran","·","","·","69PF+FFP","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_tglHM8unEepy4n-a_asiKNx7H2OIk-2Aa-ZM5aNKfn_sezWlKH311KgdXaF5xwf6FvpImOor8QrNtLTOPmfyS7mf0FxC7JIEfSzs_qR6Lwu7lgfEbJY84RjZKTF7551ry5Ur=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makananya enak ikan, udang, jamur krispi enak, nasi banyak sewakul.""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Mr.+B/data=!4m7!3m6!1s0x2e7a599ee6097e2b:0xce1369fcb6bd916b!8m2!3d-7.7588388!4d110.4054586!16s%2Fg%2F11c0w530db!19sChIJK34J5p5Zei4Ra5G9tvxpE84?authuser=0&hl=id&rclk=1","Warung Makan Mr. B","4,7","(246)","·","Rp 1–25.000","Rumah Makan","·","","·","Jl. Cemp. No.231","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFCK0vqL-NV45QrwVP4aRZrV94OOtwC7sYdJr9Jz7px3xjFFww-7mKsWIVxeeSAWlqV4O9cMNQbTo_peL781wxqcC767IXkBSdPk6DNWaCTjs55e93UCP_mrOXWW6cQod4m9qe8=w184-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, banyak pilihan menu, dan harganya terjangkau""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjMHc1MzBkYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Warung+Makan+Pak+Imam/data=!4m7!3m6!1s0x2e7a5853d2faf113:0xbb09f650c116003c!8m2!3d-7.7620362!4d110.3730824!16s%2Fg%2F11bzr61z4_!19sChIJE_H60lNYei4RPAAWwVD2Cbs?authuser=0&hl=id&rclk=1","Warung Makan Pak Imam","4,7","(143)","·","Rp 1–25.000","Indonesia","·","","·","Jl. Selokan Mataram Jl. Pogung Kidul","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHDZs7iGW8YAxNI5yEzE7QnvAxX-j_PdJPPnne1T4PeXDS0_uLhsmEuFS5gQK2I0RIF95_wgfmDDWdYpcJDkcfIT6PGFDNofXMxYWS7npIT2iz8pattFwnf-tXe1EKdc-0X0NlT=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa makanannya enak, porsinya sangat banyak, dan harganya murah.""","","","","",""
"https://www.google.com/maps/place/Nyambel+Cobek+-+Condongcatur/data=!4m7!3m6!1s0x2e7a59a68e053f4d:0x4b0dee7de149f4d5!8m2!3d-7.7537864!4d110.3977127!16s%2Fg%2F11ynb9v8w0!19sChIJTT8FjqZZei4R1fRJ4X3uDUs?authuser=0&hl=id&rclk=1","Nyambel Cobek - Condongcatur","4,5","(534)","·","Rp 1–25.000","Rumah Makan","·","","Jl. Garuda No.120","","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH6ZPU0NYhCgEbBY6R9oKjf-ffEdPliJWLFtW3J4EgcNRfyBt0WcJlQgvgxsFfvQR4NVSigAHY0FaV6C7wCfzVxPcMtxf-IFj1onGxUu6EcrWiuMKsUo6v6QPVe0Lg1s8rR97Zx8N3xB0aR=w80-h109-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makananya enak pilihan banyak dan unik, jarang jarang dijogja ada begini""","","","","",""
"https://www.google.com/maps/place/Warung+Ocik+-+Makanan+Khas+Medan+%28Halal%29/data=!4m7!3m6!1s0x2e7a59c227abdacd:0x900590cb27fecb57!8m2!3d-7.7790262!4d110.4003678!16s%2Fg%2F11c483ff0n!19sChIJzdqrJ8JZei4RV8v-J8uQBZA?authuser=0&hl=id&rclk=1","Warung Ocik - Makanan Khas Medan (Halal)","4,7","(375)","·","Rp 25–50 rb","Mi","·","","·","Perum Tirta Kirana, Jl. Nologaten No.1A","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHue8UhGuEcus4fh9brcAEtsNBxEwUdk2SxMJy3dB_OvhFcvrwNwcSaJ1LPMI4h_jqeLEaFRIjaYppgOmyeT8ZXpc_jUNmo6rmbqSvs-ucfRVwmHpAtkeEw_I7eLSvGELX5Dy8IBg=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih,","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjNDgzZmYwbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","makanan","lumayan enak tapi harganya ga sesuai."""
"https://www.google.com/maps/place/Rumah+Makan+Khas+Banyuwangi%28%EA%A7%8B%EA%A6%AB%EA%A6%B8%EA%A6%A9%EA%A6%83%EA%A6%A9%EA%A6%8F%EA%A6%A4%EA%A7%80%EA%A6%8F%EA%A6%B3%EA%A6%B1%EA%A7%80%EA%A6%A7%EA%A6%9A%EA%A6%B8%EA%A6%AE%EA%A6%94%EA%A6%B6%29/data=!4m7!3m6!1s0x2e7a59988cb58a43:0x57b68b1522b20842!8m2!3d-7.7608449!4d110.4038294!16s%2Fg%2F11c51sh00n!19sChIJQ4q1jJhZei4RQgiyIhWLtlc?authuser=0&hl=id&rclk=1","Rumah Makan Khas Banyuwangi(꧋ꦫꦸꦩꦃꦩꦏꦤ꧀ꦏ꦳ꦱ꧀ꦧꦚꦸꦮꦔꦶ)","4,8","(35)","","","Rumah Makan","·","","Jl. Wahid Hasyim No.49","","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWSBp45m6NVDosCbkOgb79gX-6ZZ5G0QpKItb9mz-lGYEmSYcvosbAS8HRHvjtbqFOvS3TlJlc0vukBkkBkUxTX29FhVyphgBNcqfpFWISy51IzgKDVehRIVLfbYz9MuDOff8=w80-h100-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa makanannya lumayan enak, minumnya mantap""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Khas+Kalimantan+Lemeq/data=!4m7!3m6!1s0x2e7a59c24f9d2e97:0xd39a1c7c91fac7b1!8m2!3d-7.7806097!4d110.4000476!16s%2Fg%2F11b62110y3!19sChIJly6dT8JZei4Rscf6kXwcmtM?authuser=0&hl=id&rclk=1","Warung Makan Khas Kalimantan Lemeq","4,8","(106)","·","Rp 1–25.000","Restoran","·","","Jl. Nologaten No.326","","Segera buka","· 18.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFTvSdhWYyhJ5Vn66OXrKzrmzAOYagaNG5vSrT2kweqQd6kujsOnSNw5ZRTVepIDB3No_0KTF9b1NsuB52teZc4MyAxUSOEooqUhs8EMA4qTCvqyf5NtXFwaD__nh-IUJ05U_8=w182-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak banget, krispi, porsinya juga lumayan banyak dengan harga 17k!""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Bu+Dapur/data=!4m7!3m6!1s0x2e7a592c7066dd17:0x612afc3e1c742f4f!8m2!3d-7.771571!4d110.3705158!16s%2Fg%2F11g0wlxdcn!19sChIJF91mcCxZei4RTy90HD78KmE?authuser=0&hl=id&rclk=1","Warung Makan Bu Dapur","4,7","(93)","·","Rp 1–25.000","Restoran","·","","·","Jalan Sendowo F Jl. Sendowo Blok D","Buka","· Tutup pukul 21.30","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFn54rOy1MBtY095Y421G6q8NEx8Q-mGnNdjixmhNREPxTyV-tsVeZIQEeOt1TlxT8WE0qAm79m_vdMZYmcHApZjBzhds28zC4pit-jx10cqKAjV0uU9-YfX7_23_1yvooolMs6=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""sangat2 direkomendasikan kalo mau nyari","","","","makanan","enak & murah."""
"https://www.google.com/maps/place/Warung+Makan+Mahasiswa+Ambarrukmo/data=!4m7!3m6!1s0x2e7a59c2d7a2d0cd:0x5823ba5aec88d3d4!8m2!3d-7.783653!4d110.3997774!16s%2Fg%2F1pzr_k76j!19sChIJzdCi18JZei4R1NOI7Fq6I1g?authuser=0&hl=id&rclk=1","Warung Makan Mahasiswa Ambarrukmo","4,6","(1.299)","·","Rp 1–25.000","Jawa","·","","·","Jl. Ambar Asri No.311","Buka","· Tutup pukul 19.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFc85d1Jy25TVNnnbfStSP3lD-lLU8Fnskg1kMbPMEQ12UVqFUzjGJf5J83K81ZyNCPBNMaeg_sMrT4ZA8DsoH5rNPoz65EjgRZPRydtS0IA29GauiWvsMM9NTZuz-61yotO9Tp=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6cl9rNzZqGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","makanan","enak
Harga terjangkau
Pegawai ramah
Tempat bersih dan nyaman"""
"https://www.google.com/maps/place/Warung+Makan+Bu+Ning+Rasa+Sayange/data=!4m7!3m6!1s0x2e7a58370e032687:0xc8ed89a3a25266dd!8m2!3d-7.7785531!4d110.3685189!16s%2Fg%2F11c3sswc49!19sChIJhyYDDjdYei4R3WZSoqOJ7cg?authuser=0&hl=id&rclk=1","Warung Makan Bu Ning Rasa Sayange","4,5","(1.715)","·","Rp 50–75 rb","Ikan Bakar","·","","·","Jl. Jetis Pasiraman No.11","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_UGLAhULN8z6LzOrKgZ83D317BCxw-aVg5jwEY6iIs-dGx124louSZC6Wyy3vYaEsFIlWETXVQgBkw02b5TtxMpiJAiD5YsAJpK5RWt4oC9ro0Drzh74v5jxPafhkEmDcdYIF=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ikan kuah kuningnya bukan taste aku sih, tapi ikan bakarnya enak banget!""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Putra+Tunggal/data=!4m7!3m6!1s0x2e7a5999e1287869:0x766eae67bb31001f!8m2!3d-7.7638375!4d110.4086023!16s%2Fg%2F11c1p1dtmg!19sChIJaXgo4ZlZei4RHwAxu2eubnY?authuser=0&hl=id&rclk=1","Warung Makan Putra Tunggal","4,7","(88)","·","Rp 1–25.000","Rumah Makan","·","","·","Jl. Perumnas Jl. Pintu Selatan UPN No.15","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHX1fhfue4AdyAcj8SvgTj-Tf7q1MElNGIVRZP-zjP8J4qw2Uj8gZ-neZY14AOi4Z2xMdM2-MuA8DPTBiq3WhGCeg4QcR8lAQ-Er0w8YQVhJQSROoc2EZ_x79xIkqKIpEfcwZtEUvrHg1k=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kemaren pesen ayam sambel kentang telur, sama orak arik telur ayam.""","","","","",""
"https://www.google.com/maps/place/Warung+Makan+Bu+Tatik/data=!4m7!3m6!1s0x2e7a585144f97d1d:0x925cc791669f69ed!8m2!3d-7.7604842!4d110.3718535!16s%2Fg%2F11c44x0b4l!19sChIJHX35RFFYei4R7WmfZpHHXJI?authuser=0&hl=id&rclk=1","Warung Makan Bu Tatik","4,7","(72)","·","$","Jawa","·","","·","Gg. Sukun No.13","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlJS-CtnvFuE2-eUs_wdHkxqU2i5vJS3Jg69DLUxkOEozTIsJmZ7xg1Lzo-dukF_IEWw4m01EF3ix-FFrAZAasb8NEtQp4DEm_iVfoSGRGIY_cl9mU3HG23w6naVhLYKqxvPpkCg=w204-h92-k-no","","Makan di tempat","","","","Bawa pulang",""
"https://www.google.com/maps/place/Bima+Kroda/data=!4m7!3m6!1s0x2e7a59a0e7c5678b:0x943937af4ca6ab1f!8m2!3d-7.7931936!4d110.4031622!16s%2Fg%2F11v6gx242q!19sChIJi2fF56BZei4RH6umTK83OZQ?authuser=0&hl=id&rclk=1","Bima Kroda","4,7","(3.804)","·","Rp 25–50 rb","Bali","·","","·","Jl. Sorowajan No.116C, RT.12/RW.11","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoCD5vng7ukHLfcGx40BYnC1Yv6CiTZX2ICEPN09URPBNX3Ak36vAlm7qYCQEE_LH4AgIFZt3DGhNXlcx0FDmLQKZcpJi2PBF1aRU1QzhJEmQMnSVmbAE9XTp4SC5IyUBUJYVtRA=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat bersih, rasa","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2Nmd4MjQycRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","makanan","enak, harga kompetitif"""
"https://www.google.com/maps/place/Rumah+Makan+Suka-Suka/data=!4m7!3m6!1s0x2e7a59ac91de43c9:0x90b7885cea65a499!8m2!3d-7.7594813!4d110.3810602!16s%2Fg%2F1pzsj7v7k!19sChIJyUPekaxZei4RmaRl6lyIt5A?authuser=0&hl=id&rclk=1","Rumah Makan Suka-Suka","4,6","(1.246)","·","Rp 25–50 rb","Indonesia","·","","·","Jl. Kaliurang Kecamatan No.KM 5.5","Tutup","· Buka Sen pukul 08.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEl1mRGuVguwPhuwDscTKtAGOdpe2ReTloK0sKtGEDtDkYOK9Rg-VIPhrid6N7SulQqGNLL6Bhd_wo7lCHlojyphv1Iipg8ZfBH-SuESqX_OjYeoi2uSV8RkMOGV0Eg-1vVlqmO8w=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak dan ikannya segar, tempat bersih dan harganya murah.""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB6c2o3djdrGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Rumah+Makan+Baru/data=!4m7!3m6!1s0x2e7a59d2ca3f2f41:0xe218c6b966badf2b!8m2!3d-7.7873947!4d110.3791322!16s%2Fg%2F1hm2vndjd!19sChIJQS8_ytJZei4RK9-6ZrnGGOI?authuser=0&hl=id&rclk=1","Rumah Makan Baru","4,5","(720)","·","Rp 50–75 rb","China","·","","Jl. Kusbini","","Buka","· Tutup pukul 21.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGpZwDTbin1YJ17LFRGpLSazySXs1c5Eq2TvXpE-AtsoeEdt0Z0Y7hU1iFANa4ro5q5bQ7P0B1N4hSFWkfOnhJq0DEkR_xdUXYqmNiOooWH5r-3TpNn3XWPx4N5AGFlfjD6d4Y=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","","","","Makanan","cukup enak dan khas, harganya terjangkau."""
"https://www.google.com/maps/place/Warung+Makan+Komplit+Masakan+Jawa/data=!4m7!3m6!1s0x2e7a5855a69c0215:0xb158026c457330d0!8m2!3d-7.7561323!4d110.3755808!16s%2Fg%2F11b6b52zly!19sChIJFQKcplVYei4R0DBzRWwCWLE?authuser=0&hl=id&rclk=1","Warung Makan Komplit Masakan Jawa","4,4","(377)","·","Rp 1–25.000","Jawa","·","","·","Jl. Pandega Marta No.166","Segera tutup","· 18.00 · Buka Sen pukul 05.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOIU5n9ywCBexzyudE0vSiqMNOt62Ho3d8ZCPVDmQ9wR5_KSI_pRvEl6CPrFlBr9qky0SU7nckN8qjG0K-U5K2KcU4j6R7nXNS5EIDUOv8LHGtof9gKRy2amG0FGeBOZIsjM1V=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mantap betul,","","","","makanan","komplit, enak, harga terjangkau mahasiswa"""
"https://www.google.com/maps/place/Masakan+Ala+Malaysia/data=!4m7!3m6!1s0x2e7a59bc33350cdf:0xde7bcdbdd82324af!8m2!3d-7.7677736!4d110.3998434!16s%2Fg%2F11b6303jhk!19sChIJ3ww1M7xZei4RryQj2L3Ne94?authuser=0&hl=id&rclk=1","Masakan Ala Malaysia","4,8","(403)","·","Rp 1–25.000","Malaysia","·","","·","Jl. Selokan Mataram No.30","Tutup","· Buka Sen pukul 11.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEcpuoXS3JrL2yJFqk71BdmWQjZB09GQsKUF_9wRv2s9gOnhpof0ckGM8fSGg-vEdnsjsip7LXehgnE_17nsS3tkqR74dxtx54eNgLAv6YghAvxEk4fT8_7wy2vfxSJ-q8nmC6a=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nasi goreng karinya super enak tapi buat aku terlalu asin.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFiNjMwM2poaxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=nyn3aay9GLmD4-EP5_rNwQY&ei=nyn3aay9GLmD4-EP5_rNwQY&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Warung+Makan+Bu+Mudia/data=!4m7!3m6!1s0x2e7a59ad7da9beef:0xe45e97b1942aa69c!8m2!3d-7.7642614!4d110.3810341!16s%2Fg%2F11b6dpkptq!19sChIJ776pfa1Zei4RnKYqlLGXXuQ?authuser=0&hl=id&rclk=1","Warung Makan Bu Mudia","4,7","(70)","","","Jawa","·","","·","Perum Swakarya, Jl. Parijotho Kaliurang St No.13 Blok CT III","Buka","· Tutup pukul 20.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEi-hm1CaWprNYq0S3wictuHLobpDOSF8qjCLFGUqV3RQWfp5q7gnkLLpspEEUcQE_oVHX1m9MZ26tTAL1Ao0eyC4PXXi548doP01PGm-IdTo4FrzxDRu69-q6u5jE-FNj2wuxN=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak dan suasananya sederhana.""","","","","",""
